Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.061563,0.077587,0.12563,0,0,0,0.56345,0.0010017,1.0232E-56,3.0292E-25,0.0019178,-2.0162E-08,0.0010017,0,0,0,0,0,0,package://robot-7_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/base_link.STL,,new-bas1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,3.0054E-10,0.043245,6.2828E-05,0,0,0,0.29972,0.00050535,1.0977E-12,-4.2929E-10,0.00054806,3.5297E-07,0.00059113,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link1.STL,,new link1-1,Origin_j1,Axis1,j1,revolute,0.061563,-0.12563,0.072924,1.5708,0,0,base_link,0,1,0,300,3,0,3.142,,,,,,,,
Empty_Link2,0.085091,4.4409E-16,1.5646E-08,0,0,0,0.55672,0.00026231,1.3603E-10,-5.7507E-09,0.0039041,1.4532E-10,0.0037366,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link2.STL,,new link3-2,Origin_j2,Axis2,j2,revolute,0,0.07607,0,-1.5708,0,1.5708,Empty_Link1,0,1,0,200,3,-1.57,1.57,,,,,,,,
Empty_Link3,0.09721,-1.9429E-16,0,0,0,0,0.22463,7.1602E-05,-1.7243E-20,-2.4624E-21,0.00055563,-2.4525E-21,0.00059212,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link3.STL,,new link4-1,Origin_j3,Axis3,j3,revolute,0.21057,0,0,3.1416,1.5708,0,Empty_Link2,0,-1,0,200,3,-1.57,0,,,,,,,,
Empty_Link4,0.028682,1.0774E-05,0,0,0,0,0.081909,1.3775E-05,-4.0758E-09,-1.2588E-21,5.9068E-05,5.4815E-21,6.1394E-05,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link4.STL,,new link 5-1,Origin_j4,Axis4,j4,revolute,0.19397,0,0,0,-1.5708,0,Empty_Link3,0,1,0,200,3,-1.57,1.57,,,,,,,,
Empty_Link5,1.1102E-15,-0.0038499,-9.5809E-07,0,0,0,0.0018438,7.899E-08,1.1667E-24,8.2111E-24,1.2983E-07,-2.0317E-12,6.1325E-08,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link5.STL,,new link 6-1,Origin_j5,Axis5,j5,revolute,0.071,0,0,1.5708,1.5708,0,Empty_Link4,0,1,0,200,3,0,1.57,,,,,,,,
Empty_Link6,-0.0027341,-0.0035,0,0,0,0,0.0016054,6.4409E-08,2.7297E-23,-1.0479E-23,8.0269E-08,9.3115E-23,4.0888E-08,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link6.STL,,part 5-5;part 5-6,Origin_j6,,j6,fixed,0,-0.008,0.0037499,1.5708,0,1.5708,Empty_Link5,0,0,0,,,,,,,,,,,,
Empty_Link7,-0.00060632,0.0015,-0.032675,0,0,0,0.0046422,1.5079E-06,-7.9686E-16,5.7483E-08,2.3443E-06,9.215E-15,8.433E-07,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link7.STL,0.71765,0.83137,1,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link7.STL,,g3-4,Origin_j7,,j7,fixed,-0.0047784,-0.005,0,0,1.5708,0,Empty_Link6,0,0,0,,,,,,,,,,,,
Empty_Link8a,0.0015,0,0.004347,0,0,0,0.0024861,4.5962E-07,-4.1548E-22,-1.6086E-22,3.4385E-07,-4.7439E-22,1.195E-07,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link8a.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link8a.STL,,ok1-3,Origin_j8a,Axis6,j8a,revolute,0.0155,0.003,-0.036764,3.0838,0,1.5708,Empty_Link7,-1,0,0,200,3,0,0.75,,,,,,,,
Empty_Link9a,0.01615,0.0015,-0.0055225,0,0,0,0.0017526,6.6124E-08,1.3982E-22,1.4858E-07,6.6228E-07,2.7618E-23,5.9879E-07,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link9a.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link9a.STL,,g1-6,Origin_j9a,Axis_j9a,j9a,fixed,0,-0.00287212163920531,0.042257217214014,3.14159265358979,-1.32098963102278,-1.5707963267949,Empty_Link8a,0,0,0,,,,,,,,,,,,
Empty_Link8b,0.0015,5.5511E-17,0.004347,0,0,0,0.0024861,4.5962E-07,-3.965E-22,5.45E-23,3.4385E-07,-4.7087E-22,1.195E-07,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link8b.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link8b.STL,,ok1-2,Origin_j8b,Axis7,j8b,revolute,-0.0155,0.003,-0.036764,3.1121,0,1.5708,Empty_Link7,-1,0,0,200,3,-0.75,0,,,,,,,,
Empty_Link9b,0.01615,0.0015,-0.0055225,0,0,0,0.0017526,6.6124E-08,-1.7195E-21,1.4858E-07,6.6228E-07,4.3267E-22,5.9879E-07,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link9b.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot-7_urdf/meshes/Empty_Link9b.STL,,g1-2,Origin_j9b,Axis_j9b,j9b,fixed,-0.00299999999999617,0.00439559096559838,0.0417541992810722,3.14159265358979,-1.18278465716093,1.5707963267949,Empty_Link8b,0,0,0,,,,,,,,,,,,
